step,pair,hasManifold,contactCount,penetration,normalX,normalY,normalZ,hasOrientedManifold,orientedContactCount,orientedPenetration,orientedNormalX,orientedNormalY,orientedNormalZ,axisContact,axisPenetration,axisIndex,firstUpY,secondUpY,firstPositionX,firstPositionY,secondPositionX,secondPositionY
7,ground-box01,true,4,0,0,-1,0,true,4,0,-0,-1,-0,true,0,1,1,0.9999998,0,-0.5,0.00030727845,0.5003184
7,ground-box02,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999964,0,-0.5,0.0009696623,1.4900026
7,ground-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.9999994,0,-0.5,0.00096628774,2.4864962
7,ground-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999946,0,-0.5,0.0002825702,3.484952
7,box01-box02,true,4,0.0110503435,0,-1,0,true,1,0.011043787,-0.0006143905,-0.9999995,0.0008267754,true,0.0110503435,1,0.9999998,0.99999964,0.00030727845,0.5003184,0.0009696623,1.4900026
7,box01-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.9999998,0.9999994,0.00030727845,0.5003184,0.00096628774,2.4864962
7,box01-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.9999998,0.99999946,0.00030727845,0.5003184,0.0002825702,3.484952
7,box02-box03,true,4,0.0046515465,0,-1,0,true,4,0.0038249493,-6.131066E-06,-0.99999964,0.0008267751,true,0.0046515465,1,0.99999964,0.9999994,0.0009696623,1.4900026,0.00096628774,2.4864962
7,box02-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.99999964,0.99999946,0.0009696623,1.4900026,0.0002825702,3.484952
7,box03-box04,true,4,0.0029716492,0,-1,0,true,1,0.0019730926,0.00087207503,-0.99999917,0.0009854191,true,0.0029716492,1,0.9999994,0.99999946,0.00096628774,2.4864962,0.0002825702,3.484952
8,ground-box01,true,4,0,0,-1,0,true,4,0,-0,-1,-0,true,0,1,1,0.99999976,0,-0.5,0.00032999733,0.50033593
8,ground-box02,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999946,0,-0.5,0.0011567859,1.4892026
8,ground-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.9999992,0,-0.5,0.001249625,2.4853618
8,ground-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.9999994,0,-0.5,0.0006151922,3.4837432
8,box01-box02,true,4,0.012069941,0,-1,0,true,1,0.01189816,-0.00065979915,-0.9999993,0.001043176,true,0.012069941,1,0.99999976,0.99999946,0.00032999733,0.50033593,0.0011567859,1.4892026
8,box01-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.99999976,0.9999992,0.00032999733,0.50033593,0.001249625,2.4853618
8,box01-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.99999976,0.9999994,0.00032999733,0.50033593,0.0006151922,3.4837432
8,box02-box03,true,4,0.005250454,0,-1,0,true,4,0.0042072535,-0.00015889083,-0.99999946,0.0010431758,true,0.005250454,1,0.99999946,0.9999992,0.0011567859,1.4892026,0.001249625,2.4853618
8,box02-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.99999946,0.9999994,0.0011567859,1.4892026,0.0006151922,3.4837432
8,box03-box04,true,4,0.0032013655,0,-1,0,true,4,0.0019907355,0.00045427802,-0.9999992,0.0011642652,true,0.0032013655,1,0.9999992,0.9999994,0.001249625,2.4853618,0.0006151922,3.4837432
9,ground-box01,true,4,0,0,-1,0,true,4,0,-0,-1,-0,true,0,1,1,0.99999976,0,-0.5,0.00036453045,0.5003979
9,ground-box02,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999917,0,-0.5,0.0013976729,1.4885765
9,ground-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.999999,0,-0.5,0.0015992991,2.4844704
9,ground-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999917,0,-0.5,0.0009852275,3.4827359
9,box01-box02,true,4,0.0130079985,0,-1,0,true,1,0.012623727,-0.0007288188,-0.999999,0.0012624877,true,0.0130079985,1,0.99999976,0.99999917,0.00036453045,0.5003979,0.0013976729,1.4885765
9,box01-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.99999976,0.999999,0.00036453045,0.5003979,0.0015992991,2.4844704
9,box01-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.99999976,0.99999917,0.00036453045,0.5003979,0.0009852275,3.4827359
9,box02-box03,true,4,0.0057929754,0,-1,0,true,4,0.00453043,-0.00031570392,-0.99999917,0.0012624875,true,0.0057929754,1,0.99999917,0.999999,0.0013976729,1.4885765,0.0015992991,2.4844704
9,box02-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.99999917,0.99999917,0.0013976729,1.4885765,0.0009852275,3.4827359
9,box03-box04,true,4,0.0035210848,0,-1,0,true,1,0.0020194054,0.0007407948,-0.99999887,0.0013326579,true,0.0035210848,1,0.999999,0.99999917,0.0015992991,2.4844704,0.0009852275,3.4827359
10,ground-box01,true,4,0,0,-1,0,true,4,0,-0,-1,-0,true,0,1,1,0.99999964,0,-0.5,0.0004030742,0.50046515
10,ground-box02,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999875,0,-0.5,0.0016447769,1.488083
10,ground-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999875,0,-0.5,0.0019722735,2.4837573
10,ground-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.999999,0,-0.5,0.0014293572,3.4819615
10,box01-box02,true,4,0.013844609,0,-1,0,true,1,0.0132290125,-0.0008058448,-0.99999857,0.0015066689,true,0.013844609,1,0.99999964,0.99999875,0.0004030742,0.50046515,0.0016447769,1.488083
10,box01-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.99999964,0.99999875,0.0004030742,0.50046515,0.0019722735,2.4837573
10,box01-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.99999964,0.999999,0.0004030742,0.50046515,0.0014293572,3.4819615
10,box02-box03,true,4,0.0062994957,0,-1,0,true,4,0.0047928095,-0.0004889605,-0.99999875,0.0015066686,true,0.0062994957,1,0.99999875,0.99999875,0.0016447769,1.488083,0.0019722735,2.4837573
10,box02-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.99999875,0.999999,0.0016447769,1.488083,0.0014293572,3.4819615
10,box03-box04,true,4,0.0037372112,0,-1,0,true,4,0.0020357966,0.0004167496,-0.99999875,0.00153773,true,0.0037372112,1,0.99999875,0.999999,0.0019722735,2.4837573,0.0014293572,3.4819615
11,ground-box01,true,4,0,0,-1,0,true,4,0,-0,-1,-0,true,0,1,1,0.9999996,0,-0.5,0.0004436184,0.5005379
11,ground-box02,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.9999982,0,-0.5,0.0019143557,1.4877095
11,ground-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.9999984,0,-0.5,0.0023916187,2.4832113
11,ground-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999857,0,-0.5,0.0019188111,3.4813335
11,box01-box02,true,4,0.014576912,0,-1,0,true,1,0.013718188,-0.00088685733,-0.9999981,0.0017557687,true,0.014576912,1,0.9999996,0.9999982,0.0004436184,0.5005379,0.0019143557,1.4877095
11,box01-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.9999996,0.9999984,0.0004436184,0.5005379,0.0023916187,2.4832113
11,box01-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.9999996,0.99999857,0.0004436184,0.5005379,0.0019188111,3.4813335
11,box02-box03,true,4,0.006766677,0,-1,0,true,1,0.0050162673,-0.0006673871,-0.9999983,0.0017502861,true,0.006766677,1,0.9999982,0.9999984,0.0019143557,1.4877095,0.0023916187,2.4832113
11,box02-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.9999982,0.99999857,0.0019143557,1.4877095,0.0019188111,3.4813335
11,box03-box04,true,4,0.00400424,0,-1,0,true,4,0.002053678,0.0003669727,-0.9999984,0.0017502843,true,0.00400424,1,0.9999984,0.99999857,0.0023916187,2.4832113,0.0019188111,3.4813335
12,ground-box01,true,4,0,0,-1,0,true,4,0,-0,-1,-0,true,0,1,1,0.9999995,0,-0.5,0.00046985285,0.5005729
12,ground-box02,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.9999975,0,-0.5,0.0021084968,1.4873991
12,ground-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999774,0,-0.5,0.002794623,2.4828215
12,ground-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999803,0,-0.5,0.002550067,3.4808817
12,box01-box02,true,4,0.015216827,0,-1,0,true,1,0.014141381,-0.0009392692,-0.99999744,0.0020769853,true,0.015216827,1,0.9999995,0.9999975,0.00046985285,0.5005729,0.0021084968,1.4873991
12,box01-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.9999995,0.99999774,0.00046985285,0.5005729,0.002794623,2.4828215
12,box01-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.9999995,0.99999803,0.00046985285,0.5005729,0.002550067,3.4808817
12,box02-box03,true,4,0.0071816444,0,-1,0,true,4,0.0051046014,-0.00086586276,-0.9999975,0.0020769853,true,0.0071816444,1,0.9999975,0.99999774,0.0021084968,1.4873991,0.002794623,2.4828215
12,box02-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.9999975,0.99999803,0.0021084968,1.4873991,0.002550067,3.4808817
12,box03-box04,true,4,0.0042163134,0,-1,0,true,4,0.0020976067,0.00014806764,-0.99999774,0.0021220576,true,0.0042163134,1,0.99999774,0.99999803,0.002794623,2.4828215,0.002550067,3.4808817
13,ground-box01,true,4,0,0,-1,0,true,4,0,-0,-1,-0,true,0,1,1,0.99999946,0,-0.5,0.0005060111,0.50063634
13,ground-box02,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.9999966,0,-0.5,0.0023810132,1.4872077
13,ground-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999714,0,-0.5,0.0032699856,2.4825137
13,ground-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999726,0,-0.5,0.0031760188,3.480521
13,box01-box02,true,4,0.015785933,0,-1,0,true,4,0.014509499,-0.0010784562,-0.9999966,0.002366925,true,0.015785933,1,0.99999946,0.9999966,0.0005060111,0.50063634,0.0023810132,1.4872077
