step,pairA,pairB,contactIndex,featureId,depth,offsetX,offsetY,offsetZ,normalX,normalY,normalZ
8,1,2,1,111,0.001244436,0.49994957,0.49875888,0.50003505,8.947113E-05,-1,-0.00034507836
8,1,2,2,126,0.0015820859,-0.50004464,0.4983318,0.50003505,8.947113E-05,-1,-0.00034507836
8,1,2,3,47,0.0009821651,0.49994946,0.49910396,-0.49995902,8.947113E-05,-1,-0.00034507836
8,0,0,0,-21,0.0011337262,0.4999799,-0.4988836,0.50000274,-1.5493494E-13,1,-4.5474735E-13
8,0,0,1,-4,0.0010990637,-0.50002,-0.4988836,-0.4999973,-1.5493494E-13,1,-4.5474735E-13
8,0,0,2,-20,0.0011391505,0.49997997,-0.4988836,-0.4999973,-1.5493494E-13,1,-4.5474735E-13
8,0,0,3,-5,0.0010936394,-0.5000201,-0.4988836,0.50000274,-1.5493494E-13,1,-4.5474735E-13
9,2,3,0,30,0.0005549382,-0.50016236,0.4994113,-0.4997765,0.0003279839,-0.9999999,-0.00025747652
9,2,3,1,111,0.000538206,0.49981156,0.4994954,0.5001285,0.0003279839,-0.9999999,-0.00025747652
9,2,3,2,-5,0.00054137106,-0.50016207,0.4991674,0.5001287,0.0003279839,-0.9999999,-0.00025747652
9,2,3,3,94,0.0005517731,0.49981126,0.4997393,-0.49977672,0.0003279839,-0.9999999,-0.00025747652
9,0,1,0,62,0.0016585634,0.49995536,0.4983387,0.49994197,0.00012524799,-1,-9.52303E-05
9,0,1,1,109,0.0016497645,-0.50001216,0.498353,-0.49995252,0.00012524799,-1,-9.52303E-05
9,0,1,2,-20,0.0016142371,0.49995533,0.49847823,-0.49995252,0.00012524799,-1,-9.52303E-05
9,0,1,3,126,0.0016940908,-0.50001204,0.49821344,0.49994206,0.00012524799,-1,-9.52303E-05
9,1,2,0,-4,0.0012009128,-0.5000622,0.49880624,-0.49993035,0.00032481883,-1,-0.00013956129
9,1,2,1,111,0.0011192576,0.49993178,0.4988736,0.50006336,0.00032481883,-1,-0.00013956129
9,1,2,2,126,0.0013188273,-0.5000622,0.49854878,0.5000635,0.00032481883,-1,-0.00013956129
9,1,2,3,47,0.0010013431,0.4999316,0.49913105,-0.4999304,0.00032481883,-1,-0.00013956129
9,0,0,0,-21,0.0010787385,0.5000449,-0.49892402,0.49995238,-2.1313192E-12,1,0
9,0,0,1,-4,0.0010732276,-0.49995515,-0.49892402,-0.5000476,-2.1313192E-12,1,0
9,0,0,2,-20,0.0009835082,0.5000448,-0.49892402,-0.5000476,-2.1313192E-12,1,0
9,0,0,3,-5,0.0011684579,-0.49995512,-0.49892402,0.49995238,-2.1313192E-12,1,0
10,2,3,0,111,0.0005371944,0.49986127,0.4994809,0.5001099,0.00021776216,-0.99999994,-0.00022031054
10,2,3,1,30,0.0005308199,-0.5001283,0.499451,-0.49980107,0.00021776216,-0.99999994,-0.00022031054
10,2,3,2,94,0.00056960026,0.4998609,0.49966878,-0.4998014,0.00021776216,-0.99999994,-0.00022031054
10,2,3,3,-5,0.0004984141,-0.500128,0.49926314,0.50011015,0.00021776216,-0.99999994,-0.00022031054
10,0,1,0,62,0.0016251182,0.49992472,0.49838635,0.49996346,0.00015115572,-1,-0.00012822983
10,0,1,1,109,0.0015976232,-0.5000574,0.4983909,-0.4999361,0.00015115572,-1,-0.00012822983
10,0,1,2,-20,0.0015697189,0.49992463,0.49856997,-0.49993613,0.00015115572,-1,-0.00012822983
10,0,1,3,126,0.0016530225,-0.5000573,0.4982073,0.49996358,0.00015115572,-1,-0.00012822983
10,1,2,0,-4,0.0011157875,-0.50008935,0.4988865,-0.49990836,0.00025654296,-1,-0.00018363468
10,1,2,1,111,0.0010749812,0.499905,0.49892274,0.50008535,0.00025654296,-1,-0.00018363468
10,1,2,2,126,0.0011524633,-0.5000892,0.4986662,0.50008553,0.00025654296,-1,-0.00018363468
10,1,2,3,47,0.0010383055,0.49990472,0.49914303,-0.49990848,0.00025654296,-1,-0.00018363468
10,0,0,0,-4,0.0010822008,-0.49992445,-0.49892926,-0.50006413,-8.624521E-12,1,0
10,0,0,1,-21,0.0010592749,0.50007564,-0.49892926,0.49993587,-8.624521E-12,1,0
10,0,0,2,-5,0.0012104306,-0.4999244,-0.49892926,0.49993593,-8.624521E-12,1,0
10,0,0,3,-20,0.00093104516,0.5000755,-0.49892926,-0.50006413,-8.624521E-12,1,0
11,2,3,0,111,0.00054393,0.4998671,0.499467,0.5001088,0.00021193048,-1,-0.00021798663
11,2,3,1,30,0.0005289084,-0.50012,0.49946013,-0.49979788,0.00021193048,-1,-0.00021798663
11,2,3,2,94,0.0005568234,0.49986675,0.49967206,-0.4997982,0.00021193048,-1,-0.00021798663
11,2,3,3,-5,0.000516015,-0.5001197,0.49925506,0.500109,0.00021193048,-1,-0.00021798663
11,0,1,0,62,0.0016263996,0.49992454,0.49838936,0.49995413,0.0002115566,-1,-0.000120164026
11,0,1,1,109,0.0016020684,-0.50005436,0.49838218,-0.4999401,0.0002115566,-1,-0.000120164026
11,0,1,2,-20,0.0015422067,0.49992445,0.49859372,-0.49994013,0.0002115566,-1,-0.000120164026
11,0,1,3,126,0.0016862613,-0.5000541,0.49817783,0.49995425,0.0002115566,-1,-0.000120164026
11,1,2,0,-4,0.0010805755,-0.5001057,0.49891582,-0.499898,0.00021155659,-1,-0.00020436579
11,1,2,1,111,0.0010659072,0.49988878,0.4989377,0.50009567,0.00021155659,-1,-0.00020436579
11,1,2,2,126,0.0010941962,-0.5001055,0.49869785,0.5000959,0.00021155659,-1,-0.00020436579
11,1,2,3,47,0.0010522864,0.49988854,0.49915567,-0.4998981,0.00021155659,-1,-0.00020436579
11,0,0,0,-4,0.0010948473,-0.49992418,-0.49892092,-0.5000601,-8.436296E-12,1,7.275958E-12
11,0,0,1,-21,0.0010633178,0.5000759,-0.49892092,0.4999399,-8.436296E-12,1,7.275958E-12
11,0,0,2,-5,0.0012150113,-0.49992412,-0.49892092,0.49993995,-8.436296E-12,1,7.275958E-12
11,0,0,3,-20,0.00094315375,0.5000758,-0.49892092,-0.5000601,-8.436296E-12,1,7.275958E-12
12,2,3,0,111,0.00055135385,0.49985814,0.49945882,0.50011253,0.00024240602,-0.99999994,-0.0002255533
12,2,3,1,30,0.00053953496,-0.500123,0.4994502,-0.49978784,0.00024240602,-0.99999994,-0.0002255533
12,2,3,2,94,0.0005430806,0.49985778,0.49969262,-0.4997881,0.00024240602,-0.99999994,-0.0002255533
12,2,3,3,-5,0.0005478082,-0.5001227,0.4992164,0.50011283,0.00024240602,-0.99999994,-0.0002255533
12,0,1,0,62,0.0016367164,0.49994037,0.49837598,0.49993485,0.0002125433,-1,-9.472594E-05
12,0,1,1,109,0.001624296,-0.5000326,0.49836302,-0.49995276,0.0002125433,-1,-9.472594E-05
12,0,1,2,-20,0.0015318538,0.49994025,0.49857557,-0.49995285,0.0002125433,-1,-9.472594E-05
12,0,1,3,126,0.0017291586,-0.5000324,0.49816343,0.49993497,0.0002125433,-1,-9.472594E-05
12,1,2,0,-4,0.0010809924,-0.50010604,0.49891254,-0.49990037,0.00024595181,-1,-0.00019960036
12,1,2,1,111,0.0010735368,0.4998882,0.49893293,0.5000933,0.00024595181,-1,-0.00019960036
12,1,2,2,126,0.0011069452,-0.50010586,0.498687,0.5000935,0.00024595181,-1,-0.00019960036
12,1,2,3,47,0.0010475841,0.499888,0.49915847,-0.4999005,0.00024595181,-1,-0.00019960036
12,0,0,0,-4,0.001108637,-0.49993998,-0.49890405,-0.5000474,-5.2930633E-12,1,-7.275958E-12
12,0,0,1,-21,0.0010832642,0.5000601,-0.49890405,0.4999526,-5.2930633E-12,1,-7.275958E-12
12,0,0,2,-5,0.001203363,-0.49993992,-0.49890405,0.49995267,-5.2930633E-12,1,-7.275958E-12
12,0,0,3,-20,0.0009885384,0.50006,-0.49890405,-0.5000474,-5.2930633E-12,1,-7.275958E-12
13,2,3,0,111,0.000555104,0.49985677,0.49945608,0.50011003,0.00025556516,-1,-0.0002204473
13,2,3,1,30,0.000550564,-0.50012136,0.49943823,-0.49978784,0.00025556516,-1,-0.0002204473
13,2,3,2,94,0.0005377991,0.49985647,0.4996938,-0.49978808,0.00025556516,-1,-0.0002204473
13,2,3,3,-5,0.0005678688,-0.5001211,0.4992005,0.50011015,0.00025556516,-1,-0.0002204473
13,0,1,0,62,0.0016474758,0.49995753,0.49836043,0.49992004,8.526515E-05,-1,-6.95056E-05
13,0,1,1,109,0.00164679,-0.50001293,0.49834535,-0.49996534,8.526515E-05,-1,-6.95056E-05
13,0,1,2,-20,0.0015417894,0.4999575,0.4985356,-0.49996543,8.526515E-05,-1,-6.95056E-05
13,0,1,3,126,0.0017524762,-0.5000128,0.49817014,0.49992016,8.526515E-05,-1,-6.95056E-05
13,1,2,0,-4,0.0010950052,-0.50009495,0.49889746,-0.49991256,0.00024280002,-1,-0.00017520401
13,1,2,1,111,0.0010877171,0.4998994,0.4989198,0.5000811,0.00024280002,-1,-0.00017520401
13,1,2,2,126,0.0011402481,-0.5000948,0.49867702,0.5000813,0.00024280002,-1,-0.00017520401
13,1,2,3,47,0.0010424742,0.49989915,0.49914026,-0.4999127,0.00024280002,-1,-0.00017520401
13,0,0,0,-4,0.0011165262,-0.49995738,-0.49889135,-0.50003475,-2.9812867E-12,1,0
13,0,0,1,-21,0.0011007666,0.5000427,-0.49889135,0.49996522,-2.9812867E-12,1,0
13,0,0,2,-5,0.0011860318,-0.49995735,-0.49889135,0.49996528,-2.9812867E-12,1,0
13,0,0,3,-20,0.001031261,0.5000426,-0.49889135,-0.50003475,-2.9812867E-12,1,0
14,2,3,0,30,0.00055665604,-0.50010866,0.499432,-0.49980232,0.0002341398,-1,-0.00019455083
14,2,3,1,111,0.0005552782,0.4998706,0.49945605,0.50009716,0.0002341398,-1,-0.00019455083
14,2,3,2,-5,0.0005722207,-0.5001084,0.4992219,0.5000972,0.0002341398,-1,-0.00019455083
14,2,3,3,94,0.00053971354,0.49987027,0.49966612,-0.49980256,0.0002341398,-1,-0.00019455083
14,0,1,0,109,0.0016609662,-0.5000011,0.49833497,-0.49997535,0.000155754,-1,-4.9428032E-05
14,0,1,1,62,0.0016533178,0.4999715,0.49835077,0.4999124,0.000155754,-1,-4.9428032E-05
14,0,1,2,126,0.0017515038,-0.50000095,0.498195,0.49991253,0.000155754,-1,-4.9428032E-05
14,0,1,3,-20,0.0015627802,0.49997148,0.49849072,-0.4999754,0.000155754,-1,-4.9428032E-05
14,1,2,0,-4,0.0011073119,-0.5000777,0.4988848,-0.4999301,0.00021719694,-1,-0.00013997579
14,1,2,1,111,0.0011004441,0.4999166,0.49890745,0.50006354,0.00021719694,-1,-0.00013997579
14,1,2,2,126,0.0011618866,-0.50007755,0.49869025,0.5000637,0.00021719694,-1,-0.00013997579
14,1,2,3,47,0.0010458693,0.49991637,0.499102,-0.49993026,0.00021719694,-1,-0.00013997579
14,0,0,0,-4,0.0011176027,-0.49997124,-0.49888647,-0.50002474,-1.9226823E-12,1,-3.637979E-12
14,0,0,1,-21,0.0011094654,0.5000288,-0.49888647,0.49997526,-1.9226823E-12,1,-3.637979E-12
14,0,0,2,-5,0.0011670307,-0.4999712,-0.49888647,0.49997532,-1.9226823E-12,1,-3.637979E-12
14,0,0,3,-20,0.0010600373,0.5000288,-0.49888647,-0.50002474,-1.9226823E-12,1,-3.637979E-12
15,2,3,0,30,0.0005571036,-0.500086,0.4994324,-0.4998277,0.0001719298,-1,-0.00015101595
15,2,3,1,111,0.00055532105,0.4998968,0.49945512,0.5000754,0.0001719298,-1,-0.00015101595
15,2,3,2,-5,0.0005683285,-0.5000858,0.4992702,0.5000755,0.0001719298,-1,-0.00015101595
15,2,3,3,94,0.00054409617,0.49989653,0.49961737,-0.49982795,0.0001719298,-1,-0.00015101595
